               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.017162,             0.01079,            0.036544,             0.34771,             0.72603,             0.62991,             0.45773,            0.012447,           0.0033773,            0.027462,            0.005248,            0.005248,            0.005248
                  50,            0.016805,            0.010491,             0.03644,             0.49772,             0.64337,             0.65298,             0.46065,            0.012751,           0.0033657,            0.026832,            0.005149,            0.005149,            0.005149
                  51,            0.016531,            0.010547,            0.036017,             0.45996,             0.70155,             0.61393,             0.42469,            0.013587,           0.0035349,            0.027809,             0.00505,             0.00505,             0.00505
                  52,            0.016902,            0.010589,            0.035327,              0.5266,             0.66415,             0.65234,              0.4896,             0.01299,           0.0035886,            0.025498,            0.004951,            0.004951,            0.004951
                  53,            0.016511,            0.010383,            0.035175,             0.52253,             0.67689,             0.65179,             0.46433,            0.013011,           0.0035947,            0.024583,            0.004852,            0.004852,            0.004852
                  54,            0.016472,            0.010526,            0.034095,             0.51709,             0.69655,              0.6757,             0.49012,            0.013199,           0.0036983,            0.025129,            0.004753,            0.004753,            0.004753
                  55,            0.016227,            0.010238,            0.034409,             0.51118,             0.71047,             0.66611,             0.45748,            0.014085,           0.0037848,            0.025787,            0.004654,            0.004654,            0.004654
                  56,            0.016701,            0.010459,            0.034287,             0.47068,             0.77113,             0.70167,             0.51251,             0.01283,           0.0035144,            0.024622,            0.004555,            0.004555,            0.004555
                  57,             0.01671,            0.010573,            0.034036,             0.46701,             0.71573,             0.64544,             0.48088,            0.012601,           0.0036661,            0.025182,            0.004456,            0.004456,            0.004456
                  58,            0.016545,            0.010643,            0.033971,             0.41557,             0.78013,              0.6334,             0.45227,            0.013119,           0.0036876,            0.026047,            0.004357,            0.004357,            0.004357
                  59,            0.016301,            0.010479,            0.033547,             0.49388,             0.70733,             0.66787,             0.50024,            0.012626,           0.0038431,            0.023977,            0.004258,            0.004258,            0.004258
                  60,            0.016325,            0.010287,            0.032682,             0.47493,             0.72161,             0.64061,             0.45814,            0.012249,           0.0036294,            0.024059,            0.004159,            0.004159,            0.004159
                  61,             0.01592,            0.010142,             0.03267,              0.5937,             0.63378,             0.67118,              0.5102,            0.012201,           0.0037822,            0.024331,             0.00406,             0.00406,             0.00406
                  62,            0.015681,            0.010009,            0.032144,             0.52024,             0.73398,             0.68486,             0.51278,            0.012438,           0.0036614,             0.02431,            0.003961,            0.003961,            0.003961
                  63,            0.016209,            0.010351,            0.032945,             0.53927,             0.71698,             0.69453,              0.5136,            0.013227,           0.0037223,            0.023307,            0.003862,            0.003862,            0.003862
                  64,            0.016049,            0.010557,            0.031898,             0.53003,             0.74188,             0.67783,             0.50085,            0.012656,           0.0037076,            0.024393,            0.003763,            0.003763,            0.003763
                  65,            0.015823,             0.01016,             0.03154,             0.51094,             0.74704,             0.67309,             0.49806,             0.01222,           0.0034713,            0.024506,            0.003664,            0.003664,            0.003664
                  66,            0.015854,            0.010061,            0.031908,             0.57528,             0.66642,              0.6766,             0.48301,            0.013103,            0.003481,            0.024507,            0.003565,            0.003565,            0.003565
                  67,            0.015553,            0.010335,            0.031438,             0.50474,             0.74474,             0.70776,             0.51506,            0.013096,            0.003689,            0.022053,            0.003466,            0.003466,            0.003466
                  68,            0.015668,             0.01011,            0.031392,             0.67795,             0.63783,             0.69645,             0.50568,            0.013474,           0.0036157,            0.022801,            0.003367,            0.003367,            0.003367
                  69,            0.015564,           0.0099595,            0.030777,             0.57719,             0.70874,             0.69757,              0.5045,            0.012774,           0.0037985,            0.023022,            0.003268,            0.003268,            0.003268
                  70,            0.015895,            0.010116,            0.030152,             0.54162,             0.76258,             0.68738,             0.49261,            0.013296,           0.0036831,            0.023152,            0.003169,            0.003169,            0.003169
                  71,            0.015378,           0.0098793,            0.030577,             0.56886,              0.7611,             0.70754,              0.5035,            0.013114,           0.0036618,            0.022846,             0.00307,             0.00307,             0.00307
                  72,            0.015626,            0.010133,            0.029525,             0.59588,             0.75485,             0.74279,             0.52054,            0.013624,           0.0035087,            0.020233,            0.002971,            0.002971,            0.002971
                  73,            0.015085,             0.00966,            0.029089,             0.57686,             0.74919,             0.73496,             0.52298,            0.012745,           0.0035722,            0.022173,            0.002872,            0.002872,            0.002872
                  74,            0.015087,           0.0099422,            0.029344,             0.50398,             0.76808,             0.68581,             0.49653,            0.012543,           0.0036197,            0.023556,            0.002773,            0.002773,            0.002773
                  75,            0.015293,           0.0097043,            0.029466,             0.59267,             0.72586,             0.71032,             0.54237,            0.012513,           0.0036925,            0.021683,            0.002674,            0.002674,            0.002674
